run_id,case,role,tickets,expected_share,expected_per_1000,effective,ready,run_ticks,work,tick_share,work_share,tick_error,abs_tick_error
10,100_100_100,2,100,0.3333333333333333,333,100,1,215,36864,0.3282442748091603,0.32962257571286785,-0.005089058524173018,0.005089058524173018
11,100_200_300,0,100,0.16666666666666666,166,100,1,111,18432,0.16946564885496182,0.1598224195338513,0.0027989821882951627,0.0027989821882951627
11,100_200_300,1,200,0.3333333333333333,333,200,1,197,40960,0.300763358778626,0.3551609322974473,-0.03256997455470734,0.03256997455470734
11,100_200_300,2,300,0.5,500,300,1,347,55936,0.5297709923664122,0.48501664816870144,0.02977099236641223,0.02977099236641223
12,50_100_250,0,50,0.125,125,50,1,50,18304,0.0764525993883792,0.15987701767870868,-0.0485474006116208,0.0485474006116208
12,50_100_250,1,100,0.25,250,100,1,172,26936,0.26299694189602446,0.23527356578855427,0.012996941896024461,0.012996941896024461
12,50_100_250,2,250,0.625,625,250,1,432,69248,0.6605504587155964,0.604849416532737,0.03555045871559637,0.03555045871559637
13,80_120_300,0,80,0.16,160,80,1,98,18304,0.14939024390243902,0.1714242901026448,-0.010609756097560985,0.010609756097560985
13,80_120_300,1,120,0.24,240,120,1,140,28672,0.21341463414634146,0.2685247621188282,-0.026585365853658532,0.026585365853658532
13,80_120_300,2,300,0.6,600,300,1,418,59800,0.6371951219512195,0.560050947778527,0.037195121951219545,0.037195121951219545
14,100_300_700,0,100,0.09090909090909091,90,100,1,60,10180,0.09174311926605505,0.09068153677590615,0.0008340283569641394,0.0008340283569641394
14,100_300_700,1,300,0.2727272727272727,272,300,1,143,35137,0.21865443425076453,0.3129938268855613,-0.05407283847650818,0.05407283847650818
14,100_300_700,2,700,0.6363636363636364,636,700,1,451,66944,0.6896024464831805,0.5963246363385325,0.05323881011954412,0.05323881011954412
15,100_100_100,0,100,0.3333333333333333,333,100,1,215,38016,0.3277439024390244,0.3296251658270543,-0.005589430894308911,0.005589430894308911
15,100_100_100,1,100,0.3333333333333333,333,100,1,227,38656,0.34603658536585363,0.335174411042998,0.012703252032520318,0.012703252032520318
15,100_100_100,2,100,0.3333333333333333,333,100,1,214,38659,0.32621951219512196,0.3352004231299477,-0.007113821138211351,0.007113821138211351
16,100_200_300,0,100,0.16666666666666666,166,100,1,81,22371,0.12347560975609756,0.20694344230449022,-0.0431910569105691,0.0431910569105691
16,100_200_300,1,200,0.3333333333333333,333,200,1,221,36096,0.33689024390243905,0.33390686573791417,0.0035569105691057312,0.0035569105691057312
16,100_200_300,2,300,0.5,500,300,1,354,49635,0.5396341463414634,0.4591496919575956,0.03963414634146345,0.03963414634146345
17,50_100_250,0,50,0.125,125,50,1,77,14720,0.1173780487804878,0.13110782549833444,-0.007621951219512202,0.007621951219512202
17,50_100_250,1,100,0.25,250,100,1,159,28795,0.2423780487804878,0.2564707768494932,-0.007621951219512202,0.007621951219512202
17,50_100_250,2,250,0.625,625,250,1,420,68759,0.6402439024390244,0.6124213976521724,0.015243902439024404,0.015243902439024404
18,80_120_300,0,80,0.16,160,80,1,92,20224,0.1402439024390244,0.1798392260083944,-0.0197560975609756,0.0197560975609756
18,80_120_300,1,120,0.24,240,120,1,140,29440,0.21341463414634146,0.26179127836665006,-0.026585365853658532,0.026585365853658532
18,80_120_300,2,300,0.6,600,300,1,424,62792,0.6463414634146342,0.5583694956249555,0.04634146341463419,0.04634146341463419
19,100_300_700,0,100,0.09090909090909091,90,100,1,62,10138,0.09451219512195122,0.08804244934823577,0.0036031042128603086,0.0036031042128603086
19,100_300_700,1,300,0.2727272727272727,272,300,1,143,36744,0.21798780487804878,0.3190996013860303,-0.05473946784922393,0.05473946784922393
19,100_300_700,2,700,0.6363636363636364,636,700,1,451,68267,0.6875,0.592857949265734,0.051136363636363646,0.051136363636363646
20,100_100_100,0,100,0.3333333333333333,333,100,1,216,36783,0.3297709923664122,0.3338749205772896,-0.003562340966921096,0.003562340966921096
20,100_100_100,1,100,0.3333333333333333,333,100,1,217,36779,0.33129770992366414,0.33383861305255513,-0.002035623409669174,0.002035623409669174
20,100_100_100,2,100,0.3333333333333333,333,100,1,222,36608,0.33893129770992364,0.33228646637015524,0.005597964376590325,0.005597964376590325
21,100_200_300,0,100,0.16666666666666666,166,100,1,119,16825,0.18140243902439024,0.15684282158604682,0.014735772357723581,0.014735772357723581
21,100_200_300,1,200,0.3333333333333333,333,200,1,198,38605,0.3018292682926829,0.35987620370456685,-0.0315040650406504,0.0315040650406504
21,100_200_300,2,300,0.5,500,300,1,339,51843,0.5167682926829268,0.48328097470938636,0.01676829268292679,0.01676829268292679
22,50_100_250,0,50,0.125,125,50,1,54,17630,0.08244274809160305,0.16182923023260085,-0.042557251908396945,0.042557251908396945
22,50_100_250,1,100,0.25,250,100,1,174,25520,0.26564885496183205,0.2342530887995447,0.01564885496183205,0.01564885496183205
22,50_100_250,2,250,0.625,625,250,1,427,65792,0.6519083969465649,0.6039176809678545,0.026908396946564883,0.026908396946564883
23,80_120_300,0,80,0.16,160,80,1,80,21760,0.12195121951219512,0.18381017544748823,-0.038048780487804884,0.038048780487804884
23,80_120_300,1,120,0.24,240,120,1,134,31582,0.20426829268292682,0.2667781691628021,-0.035731707317073175,0.035731707317073175
23,80_120_300,2,300,0.6,600,300,1,442,65041,0.6737804878048781,0.5494116553897097,0.07378048780487811,0.07378048780487811
24,100_300_700,0,100,0.09090909090909091,90,100,1,64,10821,0.09770992366412214,0.0930734627525524,0.006800832755031225,0.006800832755031225
24,100_300_700,1,300,0.2727272727272727,272,300,1,149,35712,0.22748091603053436,0.30716565029287046,-0.04524635669673835,0.04524635669673835
24,100_300_700,2,700,0.6363636363636364,636,700,1,442,69730,0.6748091603053435,0.5997608869545771,0.038445523941707194,0.038445523941707194
