alpha,threads_case,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
25,1_5_7,0,1,100,3,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,215.33333333333334,17.30767331432956,196.0,238.0,35505.0,1215.1973776579123,33792.0,36481.0,0.32905868004005784,0.026084020013269364,0.3001531393568147,0.36335877862595417,0.33399183432993573,0.007915354753823236,0.3237048946052162,0.3429580538104759,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_5_7,1,5,100,3,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,225.0,16.753109164172084,204.0,245.0,35070.666666666664,2544.20142459061,32366.0,38478.0,0.3438637098691107,0.025603130782679756,0.3114503816793893,0.37404580152671757,0.329350942473636,0.011359777956022325,0.3158910631726978,0.3436763129689175,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,1_5_7,2,7,100,3,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,214.0,13.490737563232042,198.0,231.0,35853.666666666664,2478.1170719363163,32373.0,37948.0,0.3270776100908315,0.02105152594728602,0.30229007633587784,0.3537519142419602,0.33665722319642827,0.008742423471416145,0.3285564949102313,0.34879638225318715,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,2_6_11,0,2,100,3,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,234.0,6.97614984548545,226.0,243.0,33462.0,3371.575398336313,28713.0,36206.0,0.3576041678843778,0.010250798240518593,0.3460949464012251,0.3709923664122137,0.323084842673831,0.0027766133700024564,0.31923466913547593,0.3256781326330095,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,2_6_11,1,6,100,3,6.0,0.0,6.0,6.0,100.0,0.0,100.0,100.0,216.66666666666666,2.6246692913372702,213.0,219.0,34583.333333333336,3470.8917522094457,29719.0,37585.0,0.3311208008447993,0.0035440812382115366,0.32618683001531396,0.33435114503816793,0.33392230404893153,0.0018375883274821159,0.33139355464444736,0.33570549098015295,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,2_6_11,2,11,100,3,11.0,0.0,11.0,11.0,100.0,0.0,100.0,100.0,203.66666666666666,8.576453553512405,193.0,214.0,35569.333333333336,4017.6320001823074,30095.0,39624.0,0.3112750312708229,0.013497966308209609,0.29465648854961835,0.327718223583461,0.3429928532772375,0.004512228650548449,0.33965400084479624,0.3493717762200767,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,3_8_13,0,3,100,3,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,208.33333333333334,8.013876853447538,197.0,214.0,32042.666666666668,6819.1959121944055,22912.0,39296.0,0.3190551351249783,0.012624071469366033,0.3012232415902141,0.32872503840245776,0.33441385420225,0.004878213028408373,0.3295220836749076,0.34107262201314087,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,3_8_13,1,8,100,3,8.0,0.0,8.0,8.0,100.0,0.0,100.0,100.0,218.66666666666666,7.039570693980958,211.0,228.0,31993.333333333332,6689.355939766465,22925.0,38861.0,0.33488822183702327,0.011476909057940923,0.32262996941896027,0.35023041474654376,0.3341133262650596,0.0032157589253264036,0.3297090506392832,0.33729700641420673,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
25,3_8_13,2,13,100,3,13.0,0.0,13.0,13.0,100.0,0.0,100.0,100.0,226.0,15.253414918196734,209.0,246.0,31535.333333333332,5696.483203599295,23694.0,37056.0,0.3460566430379985,0.02278016994781794,0.3210445468509985,0.3761467889908257,0.3314728195326904,0.007822804502682657,0.3216303715726524,0.3407688656858092,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_2_3,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,215.5,9.313968005098578,202.0,228.0,37120.0,1199.8933285921712,35264.0,38592.0,0.3277632047669937,0.014313415048602004,0.3069908814589666,0.3470319634703196,0.333880834995939,0.0038198740286167912,0.32837755012695913,0.33900210822206606,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_2_3,1,2,100,4,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,235.5,17.613914953808536,215.0,258.0,36291.25,1216.0249534857417,35520.0,38395.0,0.35819477407206934,0.027052802526599088,0.32674772036474165,0.3926940639269406,0.32656781699793225,0.010482090791031068,0.31242448121880745,0.3372716092761771,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_2_3,2,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,206.5,25.947061490658243,171.0,241.0,37765.75,2186.1632344132036,35025.0,41024.0,0.31404202116093693,0.039252221559705085,0.2602739726027397,0.3662613981762918,0.33955134800612874,0.013558960495443273,0.32372628250175683,0.3591979686542334,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,1_3_5,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,125.75,17.268106439329124,108.0,144.0,30664.75,2363.5849228449565,27776.0,33152.0,0.19152617681998738,0.02615754413222271,0.16463414634146342,0.2191780821917808,0.2736419261645845,0.008810265495688752,0.26338142413167703,0.28500197726999194,0.25,0.0,0.25,0.25
50,1_3_5,1,3,100,4,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,181.0,39.05764969887461,125.0,220.0,26623.0,1992.4665618273245,24192.0,28864.0,0.27571741470839367,0.05953486850791095,0.1902587519025875,0.3353658536585366,0.2385933310945641,0.023112321287766906,0.21388536873708294,0.27186668076231846,0.25,0.0,0.25,0.25
50,1_3_5,2,5,100,4,5.0,0.0,5.0,5.0,200.0,0.0,200.0,200.0,349.75,38.32998173753804,298.0,390.0,54630.5,4269.470605356126,47987.0,59597.0,0.532756408471619,0.05842708497479827,0.4535768645357686,0.593607305936073,0.48776474274085135,0.02404988119584775,0.4611873023805634,0.5161360881492486,0.5,0.0,0.5,0.5
50,1_5_7,0,1,100,3,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,138.0,2.160246899469287,136.0,141.0,20982.666666666668,782.9675741831345,19876.0,21568.0,0.2105776391733383,0.003146318206262398,0.20763358778625954,0.2149390243902439,0.1963529494878607,0.0015297022783066338,0.19438250596565348,0.19811147444611824,0.2,0.0,0.2,0.2
50,1_5_7,1,5,100,3,5.0,0.0,5.0,5.0,200.0,0.0,200.0,200.0,256.0,6.97614984548545,247.0,264.0,43223.333333333336,1006.5046227194168,41800.0,43948.0,0.39063489108173527,0.0104171280387739,0.37709923664122136,0.4024390243902439,0.4046529325576732,0.0030112198179886055,0.40172213639978427,0.4087939600203419,0.4,0.0,0.4,0.4
50,1_5_7,2,7,100,3,7.0,0.0,7.0,7.0,200.0,0.0,200.0,200.0,261.3333333333333,8.178562764256865,251.0,271.0,42633.666666666664,1473.416513489048,40576.0,43947.0,0.39878746974492646,0.012732976570411267,0.3826219512195122,0.41374045801526715,0.3989941179544661,0.002033417152140573,0.3968235340140046,0.4017129955484054,0.4,0.0,0.4,0.4
50,2_6_11,0,2,100,3,2.0,0.0,2.0,2.0,100.0,0.0,100.0,100.0,114.33333333333333,1.8856180831641267,113.0,117.0,16706.333333333332,1349.4967786384507,15616.0,18608.0,0.17491400948991967,0.0030423403823881677,0.1722560975609756,0.17917304747320062,0.16545562526920393,0.0009788528943621855,0.16464336765345652,0.1668325309090257,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
50,2_6_11,1,6,100,3,6.0,0.0,6.0,6.0,200.0,0.0,200.0,200.0,210.33333333333334,13.021349989749739,192.0,221.0,33737.0,2128.304646113114,32026.0,36737.0,0.32175787906917486,0.01963557232829608,0.29402756508422667,0.33689024390243905,0.3345745385586094,0.00577133150154298,0.32937052278616064,0.34262182566918326,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,2_6_11,2,11,100,3,11.0,0.0,11.0,11.0,300.0,0.0,300.0,300.0,329.0,10.614455552060438,321.0,344.0,50484.666666666664,4115.850688361871,46641.0,56192.0,0.5033281114409054,0.016607657778295027,0.49085365853658536,0.5267993874425727,0.49996983617218665,0.005291488498795874,0.4924871970856871,0.5037969463048136,0.5,0.0,0.5,0.5
50,3_8_13,0,3,100,3,3.0,0.0,3.0,3.0,100.0,0.0,100.0,100.0,111.0,3.559026084010437,106.0,114.0,17914.333333333332,329.4807362434951,17508.0,18315.0,0.1700676756953122,0.005333696278088184,0.16257668711656442,0.17457886676875958,0.16517292505754463,0.0019100290872272382,0.16263086390154238,0.16723500587443046,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
50,3_8_13,1,8,100,3,8.0,0.0,8.0,8.0,200.0,0.0,200.0,200.0,215.66666666666666,13.474255287605157,202.0,234.0,36390.333333333336,1396.0908120733247,35127.0,38336.0,0.33045374972206304,0.02088377766031245,0.3093415007656968,0.3588957055214724,0.3354017264972461,0.0075617243617076115,0.32471482186766254,0.3410799400139458,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
50,3_8_13,2,13,100,3,13.0,0.0,13.0,13.0,300.0,0.0,300.0,300.0,326.0,10.708252269472673,312.0,338.0,54190.666666666664,1950.2889244644982,51475.0,55966.0,0.4994785745826248,0.016079726928132806,0.4785276073619632,0.5176110260336907,0.49942534844520925,0.00753166035669978,0.4916850541116237,0.5096322727356764,0.5,0.0,0.5,0.5
75,1_2_3,0,1,100,4,1.0,0.0,1.0,1.0,100.0,0.0,100.0,100.0,210.0,8.514693182963201,198.0,221.0,37570.75,1386.5823767450674,35224.0,38784.0,0.31964839360342434,0.013287357165656074,0.3009118541033435,0.33689024390243905,0.33769610411781803,0.006314106143182719,0.33045704284831123,0.34681134107383643,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
