alpha,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,jobs_mean,jobs_std,jobs_min,jobs_max,miss_mean,miss_std,miss_min,miss_max,miss_rate_mean,miss_rate_std,miss_rate_min,miss_rate_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
25,logger,3,50,2,3.0,0.0,3.0,3.0,50.0,0.0,50.0,50.0,92.0,4.0,88.0,96.0,17865.5,886.5,16979.0,18752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14067278287461774,0.006116207951070346,0.1345565749235474,0.14678899082568808,0.3353724837936056,0.0016060419873653031,0.3337664418062403,0.33697852578097093,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,logger,4,50,2,4.0,0.0,4.0,4.0,50.0,0.0,50.0,50.0,92.0,3.0,89.0,95.0,18036.5,215.5,17821.0,18252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14088820826952525,0.00459418070444105,0.1362940275650842,0.14548238897396631,0.34226829471707654,0.004108901927702746,0.3381593927893738,0.3463771966447793,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,logger,8,50,3,8.0,0.0,8.0,8.0,50.0,0.0,50.0,50.0,85.0,4.320493798938574,81.0,91.0,18766.666666666668,332.7745316109526,18445.0,19225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13037614625113325,0.006784656530486559,0.12404287901990811,0.13978494623655913,0.34353050363489746,0.005701981184581073,0.336741214057508,0.35069317767238234,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,logger,9,50,3,9.0,0.0,9.0,9.0,50.0,0.0,50.0,50.0,71.66666666666667,4.642796092394707,67.0,78.0,11477.333333333334,348.3507172695676,11024.0,11871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11031804353838252,0.0072268750200036366,0.10307692307692308,0.12018489984591679,0.18857111946335772,0.004958104377261993,0.18158159147436215,0.19254969374301117,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
50,ai,5,100,2,5.0,0.0,5.0,5.0,200.0,0.0,200.0,200.0,230.0,3.0,227.0,233.0,49099.0,236.0,48863.0,49335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35114503816793896,0.004580152671755738,0.3465648854961832,0.35572519083969467,0.8173834296470925,0.0031401551793586724,0.8142432744677339,0.8205235848264513,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365
50,ai,7,100,2,7.0,0.0,7.0,7.0,200.0,0.0,200.0,200.0,237.0,4.0,233.0,241.0,47743.0,2129.0,45614.0,49872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3629317461210859,0.005569782930901851,0.35736196319018404,0.36850152905198774,0.8113872977542055,0.0024072821819240975,0.8089800155722814,0.8137945799361296,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365
50,ai,9,100,2,9.0,0.0,9.0,9.0,300.0,0.0,300.0,300.0,248.0,14.0,234.0,262.0,49164.5,2125.5,47039.0,51290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795116399960662,0.02171347485845146,0.3577981651376147,0.4012251148545176,0.7452036174212356,0.014648234430616247,0.7305553829906194,0.7598518518518519,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
50,ai,14,100,2,14.0,0.0,14.0,14.0,300.0,0.0,300.0,300.0,251.0,5.0,246.0,256.0,49021.5,625.5,48396.0,49647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846804272869907,0.007957609522825287,0.3767228177641654,0.39263803680981596,0.740273178650767,0.0012915910467599656,0.738981587604007,0.7415647696975269,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
50,ai,25,100,3,25.0,0.0,25.0,25.0,500.0,0.0,500.0,500.0,277.6666666666667,5.312459150169742,271.0,284.0,57365.0,235.8064177809134,57183.0,57698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42696195730640785,0.008211404320334863,0.4162826420890937,0.4362519201228879,0.7496044127727087,0.0012750075934111886,0.7481490125906044,0.7512539720055674,0.5263157894736842,0.0,0.5263157894736842,0.5263157894736842
50,control,1,300,11,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,333.45454545454544,12.34624445190179,314.0,351.0,0.0,0.0,0.0,0.0,149.9090909090909,0.28747978728803447,149.0,150.0,0.2727272727272727,0.616575453011388,0.0,2.0,0.0018263168598739068,0.004133309732214552,0.0,0.013422818791946308,0.5108978856966073,0.01785570905298045,0.48382126348228044,0.5358778625954198,0.0,0.0,0.0,0.0,0.4403156651960479,0.09109872869133462,0.3157894736842105,0.5454545454545454
50,logger,2,50,2,2.0,0.0,2.0,2.0,50.0,0.0,50.0,50.0,75.5,1.5,74.0,77.0,10971.5,283.5,10688.0,11255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11526717557251909,0.0022900763358778622,0.11297709923664122,0.11755725190839694,0.1826165703529074,0.0031401551793586585,0.17947641517354873,0.18575672553226605,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
50,logger,3,50,2,3.0,0.0,3.0,3.0,50.0,0.0,50.0,50.0,70.5,0.5,70.0,71.0,11106.5,669.5,10437.0,11776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10796232716084125,0.000600363970657207,0.10736196319018405,0.10856269113149847,0.18861270224579452,0.002407282181924139,0.1862054200638704,0.19101998442771867,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
50,logger,4,50,2,4.0,0.0,4.0,4.0,100.0,0.0,100.0,100.0,73.0,17.0,56.0,90.0,16779.5,569.5,16210.0,17349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11168635935765767,0.025928319541424903,0.08575803981623277,0.13761467889908258,0.25479638257876436,0.014648234430616233,0.24014814814814814,0.2694446170093806,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
50,logger,8,50,2,8.0,0.0,8.0,8.0,100.0,0.0,100.0,100.0,74.0,1.0,73.0,75.0,17201.0,335.0,16866.0,17536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11341120266067889,0.0016194721859468797,0.11179173047473201,0.11503067484662577,0.2597268213492331,0.0012915910467599656,0.2584352303024731,0.26101841239599305,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
50,logger,9,50,3,9.0,0.0,9.0,9.0,150.0,0.0,150.0,150.0,53.333333333333336,3.2998316455372216,49.0,57.0,19162.666666666668,197.75798902249744,18944.0,19423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08201518425684637,0.005169404236769208,0.07526881720430108,0.08782742681047766,0.2503955872272913,0.0012750075934111617,0.24874602799443263,0.2518509874093956,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525
75,ai,5,100,2,5.0,0.0,5.0,5.0,300.0,0.0,300.0,300.0,258.5,2.5,256.0,261.0,56202.5,141.5,56061.0,56344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394961131731914,0.004121437075425449,0.39083969465648855,0.39908256880733944,0.8666552335296684,0.0004641131262740905,0.8661911204033944,0.8671193466559426,0.46153846153846156,0.0,0.46153846153846156,0.46153846153846156
75,ai,7,100,2,7.0,0.0,7.0,7.0,300.0,0.0,300.0,300.0,278.5,0.5,278.0,279.0,55620.0,124.0,55496.0,55744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4255153255363354,0.0004388729369470268,0.42507645259938837,0.4259541984732824,0.8490706510262671,0.0022947347639460935,0.8467759162623211,0.8513653857902133,0.46153846153846156,0.0,0.46153846153846156,0.46153846153846156
