alpha,case,role,threads,tickets,n,ready_mean,ready_std,ready_min,ready_max,effective_mean,effective_std,effective_min,effective_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,jobs_mean,jobs_std,jobs_min,jobs_max,miss_mean,miss_std,miss_min,miss_max,miss_rate_mean,miss_rate_std,miss_rate_min,miss_rate_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,effective_share_mean,effective_share_std,effective_share_min,effective_share_max
0,1_9_4,logger,4,50,3,4.0,0.0,4.0,4.0,50.0,0.0,50.0,50.0,94.66666666666667,4.109609335312651,90.0,100.0,16376.666666666666,1217.2015262706318,14656.0,17280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14504551902967897,0.006282341525191377,0.13782542113323124,0.15313935681470137,0.33237599752636066,0.0021153203917313613,0.3297458209297,0.33492538677757716,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,1_14_8,ai,14,100,3,14.0,0.0,14.0,14.0,100.0,0.0,100.0,100.0,199.33333333333334,4.988876515698588,194.0,206.0,34716.0,981.2668682201935,33623.0,36003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30681995970131565,0.007512658135388203,0.29892141756548535,0.3169230769230769,0.653465427547722,0.0019963516190093537,0.6507131659925297,0.6553864637565078,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,1_14_8,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,367.3333333333333,2.6246692913372702,365.0,371.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5654213583027142,0.004447955617434393,0.5615384615384615,0.5716486902927581,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
25,1_14_8,logger,8,50,3,8.0,0.0,8.0,8.0,50.0,0.0,50.0,50.0,83.0,2.943920288775949,79.0,86.0,18406.333333333332,379.18538415339214,18048.0,18931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12775868199597012,0.004552566335139725,0.12153846153846154,0.13230769230769232,0.34653457245227803,0.001996351619009405,0.34461353624349217,0.34928683400747035,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,1_25_9,ai,25,100,3,25.0,0.0,25.0,25.0,200.0,0.0,200.0,200.0,229.66666666666666,3.2998316455372216,226.0,234.0,46014.0,2667.683639414539,42566.0,49064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35459832083484516,0.004454152580378719,0.3498452012383901,0.3605546995377504,0.8098288641681747,0.0017235797367565813,0.8076580080830313,0.811874307083878,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365
25,1_25_9,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,347.3333333333333,5.2493385826745405,340.0,352.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.3333333333333333,0.4714045207910317,0.0,1.0,0.0022222222222222222,0.003142696805273545,0.0,0.006666666666666667,0.5362961463140459,0.008796460326462167,0.5238828967642527,0.5432098765432098,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454
25,1_25_9,logger,9,50,3,9.0,0.0,9.0,9.0,50.0,0.0,50.0,50.0,70.66666666666667,3.2998316455372216,67.0,75.0,10798.666666666666,507.09126945309913,10137.0,11369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109105532851109,0.004995256887788252,0.10339506172839506,0.11556240369799692,0.19017113583182532,0.0017235797367566045,0.188125692916122,0.19234199191696869,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091
25,1_5_2,ai,5,100,3,5.0,0.0,5.0,5.0,100.0,0.0,100.0,100.0,191.0,8.04155872120988,183.0,202.0,32315.666666666668,3996.3605387346565,26680.0,35502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916030534351145,0.012277188887343317,0.27938931297709924,0.3083969465648855,0.6644387945680711,0.010753014663388086,0.6505304915701428,0.6767183866417598,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,1_5_2,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,373.3333333333333,1.699673171197595,371.0,375.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5699745547073791,0.0025949208720573765,0.566412213740458,0.5725190839694656,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
25,1_5_2,logger,2,50,3,2.0,0.0,2.0,2.0,50.0,0.0,50.0,50.0,90.66666666666667,9.030811456096044,79.0,101.0,16337.333333333334,2208.0587753851923,13376.0,18676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13842239185750635,0.013787498406253502,0.12061068702290076,0.15419847328244274,0.3355612054319289,0.010753014663388086,0.32328161335824024,0.34946950842985725,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
25,1_7_3,ai,7,100,3,7.0,0.0,7.0,7.0,100.0,0.0,100.0,100.0,180.33333333333334,5.792715732327589,174.0,188.0,29782.666666666668,4428.576395286514,23626.0,33856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27573904179408765,0.008857363505088041,0.26605504587155965,0.2874617737003058,0.680824527083984,0.0020327165991555467,0.6780577070388969,0.682883537052725,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
25,1_7_3,control,1,300,3,1.0,0.0,1.0,1.0,300.0,0.0,300.0,300.0,367.3333333333333,5.185449728701348,360.0,371.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5616717635066258,0.007928822215139646,0.5504587155963303,0.5672782874617737,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
25,1_7_3,logger,3,50,3,3.0,0.0,3.0,3.0,50.0,0.0,50.0,50.0,106.33333333333333,2.0548046676563256,104.0,109.0,13964.0,2081.6576727854817,11040.0,15722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16258919469928643,0.003141903161554011,0.15902140672782875,0.16666666666666666,0.319175472916016,0.0020327165991555216,0.317116462947275,0.32194229296110305,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
