run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share,has_tardiness,control_mean_tardiness,control_tardiness_per_miss,control_max_tardiness,control_mean_resp,control_resp_jitter_std,control_resp_range,control_resp_min,control_resp_max
18,1_25_9,75,25,500,50,0.1,110683,28848,0.4840506329113924,0.41822784810126584,0.09772151898734177,1,0.636,6.36,13,3.082,2.8084294543392043,15,2,17
19,1_25_9,100,25,500,147,0.294,110936,26176,0.4804865686771414,0.41206284845413077,0.10745058286872783,1,14.61,49.69387755102041,78,17.37,26.363252834200868,80,2,82
20,1_14_8,0,25,500,41,0.082,58185,24548,0.5265822784810127,0.3245569620253165,0.1488607594936709,1,0.294,3.5853658536585367,7,2.724,1.6173509204869543,9,2,11
21,1_14_8,25,25,500,13,0.026,47938,23575,0.53522554485555,0.31424227065382665,0.15053218449062342,1,0.058,2.230769230769231,4,2.296,0.8052229504925955,6,2,8
22,1_14_8,50,25,500,17,0.034,54223,24128,0.5068423720223011,0.34617334009123163,0.1469842878864673,1,0.056,1.6470588235294117,3,2.38,0.8364209466530595,5,2,7
23,1_14_8,75,25,500,51,0.102,55975,24908,0.5172064777327935,0.34058704453441296,0.14220647773279352,1,0.464,4.549019607843137,11,2.936,2.2387282103908905,13,2,15
24,1_14_8,100,25,500,117,0.234,53786,23062,0.49467815509376584,0.35377597567156616,0.151545869234668,1,6.05,25.854700854700855,42,8.692,13.06801958982309,44,2,46
25,1_25_9,0,0,500,15,0.03,49003,22252,0.5119349923819198,0.3478923311325546,0.14017267648552564,1,0.044,1.4666666666666666,3,2.34,0.7405403432629453,5,2,7
26,1_25_9,25,0,500,47,0.094,62634,18809,0.5147058823529411,0.3554766734279919,0.12981744421906694,1,0.288,3.0638297872340425,7,2.776,1.5930549268622223,9,2,11
27,1_25_9,50,0,500,28,0.056,59326,25136,0.5134313228585909,0.3446528129751647,0.1419158641662443,1,0.164,2.9285714285714284,6,2.55,1.2551892287619424,8,2,10
28,1_25_9,75,0,500,80,0.16,62932,25039,0.49746707193515705,0.35612968591691996,0.146403242147923,1,0.54,3.375,8,3.064,2.0774753909493127,10,2,12
