run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share,has_tardiness,control_mean_tardiness,control_tardiness_per_miss,control_max_tardiness,control_mean_resp,control_resp_jitter_std,control_resp_range,control_resp_min,control_resp_max
14,1_14_8,100,85,500,13,0.026,221928,70844,0.4236006051437216,0.4563792233988906,0.1200201714573878,1,0.028,1.0769230769230769,2,2.634,0.789964556166921,4,2,6
15,1_25_9,0,24,500,0,0.0,125351,53696,0.5539240506329114,0.30227848101265825,0.14379746835443039,1,0.0,0.0,0,2.0,0.0,0,2,2
16,1_25_9,25,49,500,0,0.0,167584,47372,0.5265822784810127,0.3518987341772152,0.12151898734177215,1,0.0,0.0,0,2.022,0.15973728431396517,2,2,4
17,1_25_9,50,43,500,6,0.012,194851,54783,0.4908906882591093,0.4109311740890688,0.09817813765182186,1,0.016,1.3333333333333333,2,2.35,0.6320601237224184,4,2,6
18,1_25_9,75,46,500,38,0.076,221669,49664,0.44275582573454914,0.4154002026342452,0.14184397163120568,1,0.186,2.4473684210526314,5,2.832,1.2664027795294834,7,2,9
19,1_25_9,100,47,500,83,0.166,191653,49832,0.48206164729661444,0.4067710965133906,0.11116725618999494,1,3.008,18.120481927710845,34,5.436,8.30649769758591,36,2,38
20,1_14_8,0,24,500,0,0.0,117984,61881,0.56,0.30835443037974686,0.13164556962025317,1,0.0,0.0,0,2.0,0.0,0,2,2
21,1_14_8,25,49,500,0,0.0,151950,60206,0.5392405063291139,0.3529113924050633,0.10784810126582278,1,0.0,0.0,0,2.006,0.07722693830524044,1,2,3
22,1_14_8,50,71,500,3,0.006,180364,64000,0.5101214574898786,0.37398785425101216,0.11589068825910931,1,0.006,1.0,1,2.336,0.5959060328608872,3,2,5
23,1_14_8,75,69,500,4,0.008,202752,66144,0.49797979797979797,0.36363636363636365,0.1383838383838384,1,0.014,1.75,3,2.324,0.6221125300136633,5,2,7
24,1_14_8,100,82,500,24,0.048,219484,68695,0.4340576048509348,0.43708943911066195,0.12885295603840324,1,0.07,1.4583333333333333,3,2.804,0.9130082146399346,5,2,7
25,1_25_9,0,24,500,0,0.0,126589,56707,0.5520040588533739,0.31709791983764585,0.1308980213089802,1,0.0,0.0,0,2.0,0.0,0,2,2
26,1_25_9,25,49,500,0,0.0,162323,45632,0.5223123732251521,0.3554766734279919,0.12221095334685599,1,0.0,0.0,0,2.054,0.24307200579252305,2,2,4
27,1_25_9,50,45,500,12,0.024,209280,53847,0.486568677141409,0.4166244298023315,0.0968068930562595,1,0.026,1.0833333333333333,2,2.456,0.7376069413990081,4,2,6
28,1_25_9,75,42,500,16,0.032,189761,57855,0.4908814589665654,0.4204660587639311,0.08865248226950355,1,0.052,1.625,4,2.42,0.8096912991998862,6,2,8
29,1_25_9,100,46,500,84,0.168,217045,51313,0.4706477732793522,0.4048582995951417,0.12449392712550607,1,3.542,21.083333333333332,35,6.142,9.347183319053928,37,2,39
30,1_14_8,0,24,500,0,0.0,118455,62309,0.5663627152988855,0.3049645390070922,0.1286727456940223,1,0.0,0.0,0,2.002,0.04467661580738851,1,2,3
31,1_14_8,25,46,500,1,0.002,150363,57530,0.5384615384615384,0.33299595141700405,0.12854251012145748,1,0.002,1.0,1,2.026,0.20328305389284262,3,2,5
32,1_14_8,50,74,500,6,0.012,193692,68220,0.5068285280728376,0.40212443095599393,0.09104704097116843,1,0.018,1.5,2,2.362,0.6685476796758771,4,2,6
33,1_14_8,75,68,500,11,0.022,205924,68898,0.4813131313131313,0.401010101010101,0.11767676767676767,1,0.034,1.5454545454545454,3,2.406,0.7491088038462763,5,2,7
